name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
NewYork,2023-01-01,24,10,16.7,24,10,16.7,9.7,65.2,0,0,0,,0,0,26.6,18.4,51.3,1019.9,1.3,4.8,194.7,16.8,7,10,2023-01-01T07:06:52,2023-01-01T17:53:11,0.3,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2023-01-02,22,8,15.4,22,7.9,15.3,8.2,64.1,0,0,0,,0,0,26.6,16.6,61.6,1020.1,2.6,5.5,197.9,17.2,7,10,2023-01-02T07:07:10,2023-01-02T17:53:49,0.34,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2023-01-03,20.7,9,14.7,20.7,7.3,14.6,7.7,64.5,0,0,0,,0,0,27.4,14.8,54.7,1020.2,1.3,6.5,198.4,17.2,7,10,2023-01-03T07:07:28,2023-01-03T17:54:28,0.37,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2023-01-04,19,7,13,19,4.8,12.6,6.1,65.6,0,0,0,,0,0,38.5,22.3,45.6,1020.5,1.1,8.7,200.4,17.4,7,10,2023-01-04T07:07:44,2023-01-04T17:55:08,0.41,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2023-01-05,19,8,13.5,19,5.3,12.8,8.2,71.2,0,0,0,,0,0,32.4,22.3,68.5,1021.2,12.8,3.7,167.2,14.5,6,10,2023-01-05T07:07:58,2023-01-05T17:55:48,0.44,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2023-01-06,24,10,16.1,24,10,16.1,9.9,67.3,0,0,0,,0,0,26.3,18.4,82.3,1021.9,17.1,5.2,179.6,15.5,7,10,2023-01-06T07:08:12,2023-01-06T17:56:28,0.48,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2023-01-07,25,10,17.8,25,10,17.8,8.9,58.4,0,0,0,,0,0,23,11.2,67.2,1021.2,8,6.5,198.7,17,7,10,2023-01-07T07:08:24,2023-01-07T17:57:09,0.5,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2023-01-08,24,10,17.4,24,10,17.4,7.6,54.5,0,0,0,,0,0,23,18.4,50.7,1020,1.3,6.2,205.9,17.8,8,10,2023-01-08T07:08:34,2023-01-08T17:57:50,0.54,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2023-01-09,24.8,9,16.7,24.8,7.9,16.7,6.2,53.7,0,0,0,,0,0,18.7,9.7,45.4,1020.4,1.3,6.2,209.9,18.2,8,10,2023-01-09T07:08:44,2023-01-09T17:58:31,0.58,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2023-01-10,25.2,8,16.6,25.2,7.4,16.5,6.8,56.1,0,0,0,,0,0,20.5,11.2,50.8,1019.8,1.3,4.6,207.7,17.8,8,10,2023-01-10T07:08:52,2023-01-10T17:59:13,0.61,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2023-01-11,26.2,10.3,18.1,26.2,10.3,18.1,8.5,56.4,0,0,0,,0,0,24.1,14.8,255.9,1016.1,1.3,5.6,206,17.8,8,10,2023-01-11T07:08:59,2023-01-11T17:59:55,0.64,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2023-01-12,25.1,11,18.2,25.1,11,18.2,11.4,65.9,0,0,0,,0,0,32.4,14.8,264.3,1014,5.9,8.4,199.9,17.2,7,10,2023-01-12T07:09:04,2023-01-12T18:00:37,0.68,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2023-01-13,23.3,12.8,17.2,23.3,12.8,17.2,10.1,65.1,0,0,0,,0,0,33.8,22.3,273.7,1014.7,12.7,5.4,205.2,17.7,8,10,2023-01-13T07:09:08,2023-01-13T18:01:19,0.71,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2023-01-14,21,8,14.7,21,8,14.7,6.6,59.7,0,0,0,,0,0,25.6,20.5,26.1,1016.9,1.3,5.4,212,18.4,8,10,2023-01-14T07:09:11,2023-01-14T18:02:01,0.75,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2023-01-15,21,8,14.2,21,6.4,13.9,6.5,61.7,0,0,0,,0,0,27,14.8,43.8,1016.1,2.5,5.3,211.1,18.4,8,10,2023-01-15T07:09:12,2023-01-15T18:02:44,0.75,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2023-01-16,22,7,14.6,22,4.3,14.1,7,61.1,0,0,0,,0,0,24.1,18.4,59,1015.8,0,4.6,209.4,18,8,10,2023-01-16T07:09:12,2023-01-16T18:03:26,0.81,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2023-01-17,22,8,15.1,22,5.8,14.9,6.9,59,0,0,0,,0,0,23,18.4,51.4,1016.2,8.5,7.6,210.8,18.2,8,10,2023-01-17T07:09:11,2023-01-17T18:04:09,0.85,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote,VAID"
NewYork,2023-01-18,23,7,15.6,23,4.8,15.2,5.3,52.1,0,0,0,,0,0,27,20.5,68.6,1017.9,1,6.8,213.1,18.5,8,10,2023-01-18T07:09:08,2023-01-18T18:04:51,0.88,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote,VAID"
